Type;Committee;Reference;Vote;Result;Status;Opening date;Closing date;Closed on;Vienna agreement;Work Item ID;Work Item Number;Role;Title;URL;Note
"SR";"CEN/TC 193";"EN 1945:1996";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"12689";"00193270";"Voter";"Self-adhesive tapes - Measurement of quick stick";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177394";""
"SR";"CEN/TC 193";"EN 827:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"21269";"00193166";"Voter";"Adhesives - Determination of conventional solids content and constant mass solids content";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177245";""
"SR";"CEN/TC 203";"EN 15655-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"69957";"00203060";"Voter";"Ductile iron pipes, fittings and accessories - Requirements and test methods for organic linings of ductile iron pipes and fittings - Part 2: Thermoplastic Acid Modified Polyolefin (TMPO) lining of pipes";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177526";""
"SR";"CEN/TC 203";"EN 969:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"28424";"00203032";"Voter";"Ductile iron pipes, fittings, accessories and their joints for gas pipelines - Requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177253";""
"SR";"CEN/TC 216";"EN 13623:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"62656";"00216110";"Voter";"Chemical disinfectants and antiseptics - Quantitative suspension test for the evaluation of bactericidal activity against Legionella of chemical disinfectants for aqueous systems - Test method and requirements (phase 2, step 1)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177444";""
"SR";"CEN/TC 219";"EN 14038-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66434";"00219058";"Voter";"Electrochemical realkalization and chloride extraction treatments for reinforced concrete - Part 2: Chloride extraction";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177448";""
"SRTS";"CEN/TC 224";"CEN/TS 17261:2018";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"62503";"00224258";"Voter";"Biometric authentication for critical infrastructure access control - Requirements and Evaluation";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177756";""
"SRTS";"CEN/TC 224";"CEN/TS 17262:2018";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"62504";"00224259";"Voter";"Personal identification - Robustness against biometric presentation attacks - Application to European Automated Border Control";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177776";""
"SRTS";"CEN/TC 224";"CEN/TS 419221-6:2019";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"67628";"00224263";"Voter";"Conditions for use of EN 419221-5 as a qualified electronic signature or seal creation device";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177779";""
"SR";"CEN/TC 224";"EN 1332-1:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"28642";"00224200";"Voter";"Identification card systems - Human-machine interface - Part 1: Design principles for the user interface";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177252";""
"SR";"CEN/TC 224";"EN 1332-2:1998";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"10403";"00224021";"Voter";"Identification card systems - Man-machine interface - Part 2: Dimensions and location of a tactile identifier for ID-1 cards";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177212";""
"SR";"CEN/TC 224";"EN 1332-5:2006";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"22053";"00224181";"Voter";"Identification card systems - Man-machine interface - Part 5: Raised tactile symbols for differenciation of application on ID-1 cards";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177172";""
"SR";"CEN/TC 224";"EN 1867:1997";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"10487";"00224105";"Voter";"Machine-readable cards - Health care applications - Numbering system and registration procedure for issuer identifiers";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177213";""
"SR";"CEN/TC 224";"EN 419211-1:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"34574";"00224209";"Voter";"Protection profiles for secure signature creation device - Part 1: Overview";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177225";""
"SR";"CEN/TC 224";"EN 419211-6:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"34579";"00224214";"Voter";"Protection profiles for secure signature creation device - Part 6: Extension for device with key import and trusted channel to signature creation application";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177226";""
"SR";"CEN/TC 225";"EN 17230:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"64616";"00225085";"Voter";"Information technology - RFID in rail";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177518";""
"SR";"CEN/TC 226";"EN 1824:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"62944";"00226236";"Voter";"Road marking materials - Road trials";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177497";""
"SR";"CEN/TC 226";"EN 1871:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"60866";"00226225";"Voter";"Road marking materials - Paint, thermoplastic and cold plastic materials - Physical properties";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177496";""
"SR";"CEN/TC 229";"EN 14649:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"10945";"00229048";"Voter";"Precast concrete products - Test method for strength retention of glass fibres in cement and concrete (SIC TEST)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177240";""
"SR";"CEN/TC 229";"EN 14650:2005";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"20648";"00229056";"Voter";"Precast concrete products - General rules for factory production control of metallic fibered concrete";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177163";""
"SR";"CEN/TC 236";"EN 15069:2008";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"11326";"00236004";"Voter";"Safety gas connection valves for metal hose assemblies used for the connection of domestic appliances using gaseous fuel";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177136";""
"SR";"CEN/TC 236";"EN 331:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"33729";"00236010";"Voter";"Manually operated ball valves and closed bottom taper plug valves for gas installations for buildings";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177363";""
"SR";"CEN/TC 242";"EN 12929-2:2015+A1:2022";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"76568";"00242071";"Voter";"Safety requirements for cableway installations designed to carry persons - General requirements - Part 2: Additional requirements for reversible bicable aerial ropeways without carrier truck brakes";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177596";""
"SRTS";"CEN/TC 248";"CEN/TS 17553:2022";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"73484";"00248729";"Voter";"Textiles and textile products - Community face coverings - Minimum requirements, methods of testing and use";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177742";""
"SR";"CEN/TC 248";"EN 14533:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"41489";"00248585";"Voter";"Textiles and textile products - Burning behaviour of bedding items - Classification scheme";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177391";""
"SR";"CEN/TC 248";"EN 16653:2015";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38927";"00248541";"Voter";"Rubber or plastics-coated fabrics - Determination of stitch tear resistance (using a needle) - Test method";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177437";""
"SR";"CEN/TC 248";"EN 17394-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"67606";"00248661";"Voter";"Textiles and textile products - Part 2: Safety of children's clothing - Security of attachment of buttons - Test method";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177446";""
"SRTS";"CEN/TC 249";"CEN/TS 16011:2013";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"36749";"00249796";"Voter";"Plastics - Recycled plastics - Sample preparation";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177738";""
"SR";"CEN/TC 249";"EN 17417:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"68015";"00249A11";"Voter";"Determination of the ultimate biodegradation of plastics materials in an aqueous system under anoxic (denitrifying) conditions - Method by measurement of pressure increase";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177489";""
"SRTS";"CEN/TC 250";"CEN/TS 1993-1-101:2022";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"64547";"00250203";"Voter";"Eurocode 3: Design of steel structures - Part 1-101: Alternative interaction method for members in bending and compression";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177777";""
"SR";"CEN/TC 252";"EN 13210-1:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66990";"00252120";"Voter";"Child care articles - Part 1: Children's harnesses, reins - Safety requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177493";""
"SR";"CEN/TC 252";"EN 13210-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66991";"00252121";"Voter";"Child care articles - Part 2: Children's harnesses incorporating backpacks and reins - Safety requirements and test methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177556";""
"SR";"CEN/TC 254";"EN 1847:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"27692";"00254112";"Voter";"Flexible sheets for waterproofing - Plastics and rubber sheets for roof waterproofing - Methods for exposure to liquid chemicals, including water";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177324";""
"SR";"CEN/TC 256";"EN 13848-2:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"58668";"00256724";"Voter";"Railway applications - Track - Track geometry quality - Part 2: Measuring systems - Track recording vehicles";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177485";""
"SR";"CEN/TC 256";"EN 15746-4:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"67129";"00256902";"Voter";"Railway applications - Track - Road-rail machines and associated equipment - Part 4: Technical requirements for running, travelling and working on urban rail";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177516";""
"SR";"CEN/TC 256";"EN 17282:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"66076";"00256867";"Voter";"Railway applications - Infrastructure - Under ballast mats";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177521";""
"SR";"CEN/TC 256";"EN 17397-1:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"60698";"00256779";"Voter";"Railway applications - Rail defects - Part 1: Rail defect management";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177466";""
"SR";"CEN/TC 260";"EN 15750:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"32472";"00260131";"Voter";"Fertilizers - Determination of total nitrogen in fertilizers containing nitrogen only as nitric, ammoniacal and urea nitrogen by two different methods";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177401";""
"SR";"CEN/TC 260";"EN 17411:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"67906";"00260200";"Voter";"Fertilizers - Determination of perchlorate in mineral fertilizers by liquid chromatography and tandem mass spectrometry detection (LC-MS/MS)";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177517";""
"SRTS";"CEN/TC 264";"CEN/TS 16115-2:2016";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"35723";"00264132";"Voter";"Ambient air - Measurement of bioaerosols - Part 2: Planning and evaluation of plant-related plume measurements";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177717";""
"SRTS";"CEN/TC 264";"CEN/TS 17021:2017";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"37089";"00264138";"Voter";"Stationary source emissions - Determination of the mass concentration of sulphur dioxide by instrumental techniques";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177739";""
"SRTS";"CEN/TC 264";"CEN/TS 17337:2019";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38745";"00264151";"Voter";"Stationary source emissions - Determination of mass concentration of multiple gaseous species - Fourier transform infrared spectroscopy";"https://cen.iso.org/livelink/eb33/part/censrtrts/ballotAction.do?method=doView&id=177737";""
"SR";"CEN/TC 264";"EN 1948-4:2010+A1:2013";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"40856";"00264170";"Voter";"Stationary source emissions - Determination of the mass concentration of PCDDs/PCDFs and dioxin-like PCBs - Part 4: Sampling and analysis of dioxin-like PCBs";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177419";""
"SR";"CEN/TC 274";"EN 12312-7:2020";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"65476";"00274090";"Voter";"Aircraft ground support equipment - Specific requirements - Part 7: Aircraft movement equipment";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177498";""
"SR";"CEN/TC 275";"EN 12014-1:1997";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"13819";"00275027";"Voter";"Foodstuffs - Determination of nitrate and/or nitrite content - Part 1: General considerations";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177185";""
"SR";"CEN/TC 275";"EN 12822:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"37299";"00275255";"Voter";"Foodstuffs - Determination of vitamin E by high performance liquid chromatography - Measurement of α-, β-, γ- and δ-tocopherol";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177425";""
"SR";"CEN/TC 275";"EN 12823-1:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"27774";"00275180";"Voter";"Foodstuffs - Determination of vitamin A by high performance liquid chromatography - Part 1: Measurement of all-E-retinol and 13-Z-retinol";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177357";""
"SR";"CEN/TC 275";"EN 13805:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"38584";"00275271";"Voter";"Foodstuffs - Determination of trace elements - Pressure digestion";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177436";""
"SR";"CEN/TC 275";"EN 14122:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"35371";"00275235";"Voter";"Foodstuffs - Determination of vitamin B1 by high performance liquid chromatography";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177144";""
"SR";"CEN/TC 275";"EN 14132:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"31711";"00275210";"Voter";"Foodstuffs - Determination of ochratoxin A in barley and roasted coffee - HPLC method with immunoaffinity column clean-up";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177147";""
"SR";"CEN/TC 275";"EN 14133:2009";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"31710";"00275209";"Voter";"Foodstuffs - Determination of ochratoxin A in wine and beer - HPLC method with immunoaffinity column clean-up";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177380";""
"SR";"CEN/TC 275";"EN 14152:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"35372";"00275236";"Voter";"Foodstuffs - Determination of vitamin B2 by high performance liquid chromatography";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177145";""
"SR";"CEN/TC 275";"EN 14164:2014";"";"";"Open";"2026-01-15";"2026-06-04";"n/a";"None";"37298";"00275254";"Voter";"Foodstuffs - Determination of vitamin B6 by high performance chromatography";"https://cen.iso.org/livelink/eb33/part/censr/ballotAction.do?method=doView&id=177424";""
